Epoch 169/500 | latent_loss=0.001246 | mask_loss=0.000549 | total_loss=0.001795 | epoch_time=8.6s | eta=46.9m (finishes ~ 03:23:59)
Epoch 170/500 | latent_loss=0.001245 | mask_loss=0.000548 | total_loss=0.001793 | epoch_time=8.8s | eta=46.8m (finishes ~ 03:24:00)
Epoch 171/500 | latent_loss=0.001245 | mask_loss=0.000546 | total_loss=0.001791 | epoch_time=8.6s | eta=46.6m (finishes ~ 03:24:01)
Epoch 172/500 | latent_loss=0.001245 | mask_loss=0.000544 | total_loss=0.001789 | epoch_time=8.4s | eta=46.5m (finishes ~ 03:24:00)
Epoch 173/500 | latent_loss=0.001244 | mask_loss=0.000542 | total_loss=0.001786 | epoch_time=8.6s | eta=46.3m (finishes ~ 03:24:01)
Epoch 174/500 | latent_loss=0.001244 | mask_loss=0.000540 | total_loss=0.001784 | epoch_time=8.2s | eta=46.2m (finishes ~ 03:24:00)
Epoch 175/500 | latent_loss=0.001244 | mask_loss=0.000539 | total_loss=0.001782 | epoch_time=8.7s | eta=46.1m (finishes ~ 03:24:00)
Epoch 176/500 | latent_loss=0.001243 | mask_loss=0.000537 | total_loss=0.001780 | epoch_time=8.6s | eta=45.9m (finishes ~ 03:24:00)
Epoch 177/500 | latent_loss=0.001243 | mask_loss=0.000535 | total_loss=0.001778 | epoch_time=8.6s | eta=45.8m (finishes ~ 03:24:01)
Epoch 178/500 | latent_loss=0.001243 | mask_loss=0.000534 | total_loss=0.001776 | epoch_time=8.6s | eta=45.6m (finishes ~ 03:24:01)
Epoch 179/500 | latent_loss=0.001242 | mask_loss=0.000532 | total_loss=0.001774 | epoch_time=8.9s | eta=45.5m (finishes ~ 03:24:02)
